Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,38544,1420,31048,6076,24,3.68,80.55,4.57,38928341,990.0,39341,458,1.16
Albania,10704,322,6284,4098,151,3.01,58.71,5.12,2877800,3720.0,14266,1133,7.94
Algeria,47216,1581,33379,12256,278,3.35,70.69,4.74,43851043,1077.0,52136,936,1.8
Andorra,1301,53,938,310,40,4.07,72.1,5.65,77265,16838.0,2110,586,27.77
Angola,3092,126,1245,1721,59,4.08,40.27,10.12,32866268,94.0,5402,964,17.85
Antigua and Barbuda,95,3,91,1,0,3.16,95.79,3.3,97928,970.0,107,4,3.74
Argentina,512293,10658,382490,119145,12259,2.08,74.66,2.79,45195777,11335.0,798486,95720,11.99
Armenia,45152,905,41023,3224,199,2.0,90.86,2.21,2963234,15237.0,52496,3955,7.53
Australia,26524,788,22863,2873,59,2.97,86.2,3.45,50919400,521.0,27148,137,0.5
Austria,30583,747,25764,4072,502,2.44,84.24,2.9,9006400,3396.0,48146,7173,14.9
Azerbaijan,37732,555,35119,2058,175,1.47,93.07,1.58,10139175,3721.0,40691,1291,3.17
Bahamas,2721,63,1183,1475,136,2.32,43.48,5.33,393248,6919.0,4409,669,15.17
Bahrain,57450,203,51819,5428,672,0.35,90.2,0.39,1701583,33763.0,72662,2952,4.06
Bangladesh,331078,4593,230804,95681,1827,1.39,69.71,1.99,164689383,2010.0,368690,9576,2.6
Barbados,180,7,156,17,0,3.89,86.67,4.49,287371,626.0,199,9,4.52
Belarus,73402,726,71999,677,194,0.99,98.09,1.01,9449321,7768.0,79852,3682,4.61
Belgium,89691,9917,18635,61139,550,11.06,20.78,53.22,11589616,7739.0,130235,32023,24.59
Belize,1365,18,326,1021,4,1.32,23.88,5.52,397621,3433.0,2131,400,18.77
Benin,2242,40,1793,409,29,1.78,79.97,2.23,12123198,185.0,2357,54,2.29
Bhutan,234,0,155,79,0,0.0,66.24,0.0,771612,303.0,298,11,3.69
Bolivia,123345,7146,77216,38983,1037,5.79,62.6,9.25,11673029,10567.0,136868,1706,1.25
Bosnia and Herzegovina,22258,675,15208,6375,297,3.03,68.33,4.44,3280815,6784.0,28354,2293,8.09
Botswana,2126,9,493,1624,0,0.42,23.19,1.83,2351625,904.0,3172,47,1.48
Brazil,4197889,128539,3611632,457718,35816,3.06,86.03,3.56,422706534,9931.0,4915289,179690,3.66
Brunei,145,3,139,3,0,2.07,95.86,2.16,437483,331.0,146,0,0.0
Bulgaria,17435,702,12474,4259,122,4.03,71.55,5.63,6948445,2509.0,21587,2815,13.04
Burkina Faso,1476,56,1118,302,10,3.79,75.75,5.01,20903278,71.0,2167,104,4.8
Burma,2009,14,553,1442,202,0.7,27.53,2.53,54409800,37.0,17794,10180,57.21
Burundi,466,1,374,91,0,0.21,80.26,0.27,11890781,39.0,513,11,2.14
Cabo Verde,4473,43,3915,515,73,0.96,87.53,1.1,555988,8045.0,6360,712,11.19
Cambodia,274,0,273,1,0,0.0,99.64,0.0,16718971,16.0,278,5,1.8
Cameroon,19848,415,18448,985,0,2.09,92.95,2.25,26545864,748.0,20924,279,1.33
Canada,136135,9204,119789,7142,378,6.76,87.99,7.68,75711404,1798.0,168501,15902,9.44
Central African Republic,4736,62,1825,2849,1,1.31,38.53,3.4,4829764,981.0,4845,9,0.19
Chad,1048,79,931,38,3,7.54,88.84,8.49,16425859,64.0,1217,87,7.15
Chile,427027,11702,399555,15770,1486,2.74,93.57,2.93,36692988,11638.0,470179,11192,2.38
China,90100,4733,84957,410,13,5.25,94.29,5.57,-2147483648,-42.0,90629,183,0.2
Colombia,686851,22053,552885,111913,15318,3.21,80.5,3.99,99141018,6928.0,855052,56264,6.58
Comoros,456,7,415,34,0,1.54,91.01,1.69,869595,524.0,487,8,1.64
Congo (Brazzaville),4891,114,3887,890,0,2.33,79.47,2.93,89561403,55.0,5089,29,0.57
Congo (Kinshasa),10324,260,9523,541,32,2.52,92.24,2.73,5518087,1871.0,10760,91,0.85
Costa Rica,51224,543,19544,31137,1327,1.06,38.15,2.78,5094114,10056.0,79182,8257,10.43
Cote d'Ivoire,18815,119,17770,926,37,0.63,94.45,0.67,26378274,713.0,19882,272,1.37
Croatia,12626,206,9833,2587,341,1.63,77.88,2.09,4105268,3076.0,17659,2781,15.75
Cuba,4459,104,3727,628,82,2.33,83.58,2.79,11326616,394.0,5809,169,2.91
Cyprus,1514,22,1237,255,3,1.45,81.7,1.78,1207361,1254.0,1824,182,9.98
Czechia,31036,444,20374,10218,1159,1.43,65.65,2.18,10708981,2898.0,82446,34664,42.04
Denmark,19036,628,16414,1994,252,3.3,86.23,3.83,5897840,3228.0,30168,2747,9.11
Diamond Princess,712,13,651,48,0,1.83,91.43,2.0,0,inf,712,0,0.0
Djibouti,5391,61,5327,3,3,1.13,98.81,1.15,988002,5456.0,5419,4,0.07
Dominica,22,0,18,4,0,0.0,81.82,0.0,71991,306.0,31,1,3.23
Dominican Republic,100937,1914,74305,24718,806,1.9,73.62,2.58,10847904,9305.0,114480,3997,3.49
Ecuador,112166,10701,91242,10223,1409,9.54,81.35,11.73,17643060,6358.0,141034,5999,4.25
Egypt,100403,5577,80689,14137,175,5.55,80.37,6.91,102334403,981.0,103683,833,0.8
El Salvador,26602,770,16786,9046,91,2.89,63.1,4.59,6486201,4101.0,29450,746,2.53
Equatorial Guinea,4990,83,4479,428,5,1.66,89.76,1.85,1402985,3557.0,5045,18,0.36
Eritrea,341,0,295,46,0,0.0,86.51,0.0,3546427,96.0,398,16,4.02
Estonia,2585,64,2213,308,21,2.48,85.61,2.89,1326539,1949.0,3607,258,7.15
Eswatini,4936,97,4077,762,32,1.97,82.6,2.38,1160164,4255.0,5569,100,1.8
Ethiopia,61700,966,23054,37680,916,1.57,37.36,4.19,114963583,537.0,78819,5476,6.95
Fiji,32,2,24,6,1,6.25,75.0,8.33,896444,36.0,32,0,0.0
Finland,8430,337,7500,593,93,4.0,88.97,4.49,5540718,1521.0,10538,1460,13.85
France,383292,30805,89242,263245,9574,8.04,23.28,34.52,68136441,5625.0,629509,102925,16.35
Gabon,8621,53,7618,950,13,0.61,88.37,0.7,2225728,3873.0,8797,38,0.43
Gambia,3293,99,1460,1734,18,3.01,44.34,6.78,2416664,1363.0,3594,38,1.06
Georgia,1773,19,1325,429,44,1.07,74.73,1.43,3989175,444.0,8118,3676,45.28
Germany,256433,9342,228784,18307,1476,3.64,89.22,4.08,166803158,1537.0,301573,24736,8.2
Ghana,45313,283,44188,842,301,0.62,97.52,0.64,31072945,1458.0,46829,176,0.38
Greece,12080,293,1347,10440,248,2.43,11.15,21.75,10423056,1159.0,19842,2516,12.68
Grenada,24,0,24,0,0,0.0,100.0,0.0,112519,213.0,24,0,0.0
Guatemala,79622,2897,68308,8417,901,3.64,85.79,4.24,17915567,4444.0,93963,3752,3.99
Guinea,9885,63,9068,754,37,0.64,91.73,0.69,13132792,753.0,10754,268,2.49
Guinea-Bissau,2245,38,1127,1080,0,1.69,50.2,3.37,1967998,1141.0,2362,23,0.97
Guyana,1703,48,1045,610,90,2.82,61.36,4.59,786559,2165.0,3093,376,12.16
Haiti,8384,214,5991,2179,8,2.55,71.46,3.57,11402533,735.0,8819,63,0.71
Holy See,12,0,12,0,0,0.0,100.0,0.0,809,14833.0,12,0,0.0
Honduras,65597,2044,15064,48489,379,3.12,22.96,13.57,9904608,6623.0,79629,4452,5.59
Hungary,9715,628,3984,5103,411,6.46,41.01,15.76,9660350,1006.0,30575,7089,23.19
Iceland,2153,10,2067,76,3,0.46,96.01,0.48,341250,6309.0,2921,605,20.71
India,4465863,75062,3471783,919018,95735,1.68,77.74,2.16,-2147483648,-2080.0,6623815,496723,7.5
Indonesia,203342,8336,145200,49806,3307,4.1,71.41,5.74,273523621,743.0,303498,29951,9.87
Iran,393425,22669,339111,31645,2313,5.76,86.19,6.68,83992953,4684.0,471772,28303,6.0
Iraq,273821,7732,209993,56096,4243,2.82,76.69,3.68,40222503,6808.0,379141,23189,6.12
Ireland,30164,1781,23364,5019,84,5.9,77.46,7.62,4937796,6109.0,38032,4496,11.82
Israel,141097,1054,108354,31689,3532,0.75,76.79,0.97,8655541,16301.0,266775,23718,8.89
Italy,281583,35577,211272,34734,1430,12.63,75.03,16.84,120822834,2331.0,325329,29621,9.1
Jamaica,3437,38,1019,2380,114,1.11,29.65,3.73,2961161,1161.0,6895,823,11.94
Japan,73264,1412,63734,8118,540,1.93,86.99,2.22,252643406,290.0,85746,3654,4.26
Jordan,2659,19,1919,721,78,0.71,72.17,0.99,10203140,261.0,15640,9286,59.37
Kazakhstan,106584,1634,100248,4702,86,1.53,94.06,1.63,18776707,5676.0,108236,595,0.55
Kenya,35460,607,21557,13296,104,1.71,60.79,2.82,53771300,659.0,39427,2119,5.37
"Korea, South",21743,346,17360,4037,155,1.59,79.84,1.99,51269183,424.0,24164,539,2.23
Kosovo,14377,574,10926,2877,76,3.99,76.0,5.25,1793000,8018.0,15814,365,2.31
Kuwait,92082,552,82222,9308,838,0.6,89.29,0.67,4270563,21562.0,107025,4091,3.82
Kyrgyzstan,44613,1061,40336,3216,126,2.38,90.41,2.63,6524191,6838.0,47428,1802,3.8
Laos,22,0,21,1,0,0.0,95.45,0.0,7275556,3.0,23,0,0.0
Latvia,1443,35,1234,174,11,2.43,85.52,2.84,1886202,765.0,2086,584,28.0
Lebanon,21877,212,7024,14641,553,0.97,32.11,3.02,6825442,3205.0,44482,9086,20.43
Lesotho,1164,31,528,605,16,2.66,45.36,5.87,2142252,543.0,1683,122,7.25
Liberia,1313,82,1194,37,2,6.25,90.94,6.87,5057677,260.0,1348,15,1.11
Libya,20462,324,2329,17809,879,1.58,11.38,13.91,6871287,2978.0,36809,5903,16.04
Liechtenstein,108,1,105,2,1,0.93,97.22,0.95,38137,2832.0,126,18,14.29
Lithuania,3163,86,2008,1069,32,2.72,63.48,4.28,2722291,1162.0,5185,937,18.07
Luxembourg,7023,124,6292,607,49,1.77,89.59,1.97,625976,11219.0,8709,410,4.71
MS Zaandam,9,2,0,7,0,22.22,0.0,inf,0,inf,9,0,0.0
Madagascar,15520,206,14243,1071,85,1.33,91.77,1.45,27691019,560.0,16558,160,0.97
Malawi,5653,176,3630,1847,23,3.11,64.21,4.85,19129955,296.0,5786,35,0.6
Malaysia,9583,128,9143,312,24,1.34,95.41,1.4,32365998,296.0,12381,3276,26.46
Maldives,8834,31,6288,2515,93,0.35,71.18,0.49,540542,16343.0,10530,364,3.46
Mali,2898,128,2267,503,16,4.42,78.23,5.65,20250834,143.0,3184,102,3.2
Malta,2162,14,1760,388,63,0.65,81.41,0.8,441539,4897.0,3270,506,15.47
Mauritania,7191,161,6701,329,26,2.24,93.19,2.4,4649660,1547.0,7520,30,0.4
Mauritius,361,10,335,16,0,2.77,92.8,2.99,1271767,284.0,385,10,2.6
Mexico,647321,69049,538514,39758,4461,10.67,83.19,12.82,255584572,2533.0,761665,55838,7.33
Moldova,41144,1096,28962,11086,588,2.66,70.39,3.78,4033963,10199.0,56579,5572,9.85
Monaco,161,1,107,53,5,0.62,66.46,0.93,39244,4103.0,222,12,5.41
Mongolia,310,0,298,12,0,0.0,96.13,0.0,3278292,95.0,314,4,1.27
Montenegro,6094,114,4350,1630,219,1.87,71.38,2.62,628062,9703.0,12127,1742,14.36
Morocco,77878,1453,59723,16702,2157,1.87,76.69,2.43,36910558,2110.0,133272,19132,14.36
Mozambique,4764,28,2763,1973,117,0.59,58.0,1.01,31255435,152.0,9196,805,8.75
Namibia,9108,93,4640,4375,180,1.02,50.94,2.0,2540916,3585.0,11626,310,2.67
Nepal,49219,312,33882,15025,1081,0.63,68.84,0.92,29136808,1689.0,86823,20932,24.11
Netherlands,81085,6281,1742,73062,1293,7.75,2.15,360.56,34882427,2325.0,141226,39062,27.66
New Zealand,1792,24,1648,120,4,1.34,91.96,1.46,4822233,372.0,1855,16,0.86
Nicaragua,4818,144,2913,1761,0,2.99,60.46,4.94,6624554,727.0,5170,94,1.82
Niger,1178,69,1099,10,0,5.86,93.29,6.28,24206636,49.0,1200,1,0.08
Nigeria,55632,1070,43610,10952,176,1.92,78.39,2.45,399640130,139.0,59345,921,1.55
North Macedonia,15293,634,12754,1905,67,4.15,83.4,4.97,2083380,7340.0,18790,2147,11.43
Norway,11746,264,9348,2134,123,2.25,79.58,2.82,5421242,2167.0,14457,1067,7.38
Oman,87939,751,83115,4073,349,0.85,94.51,0.9,5106622,17221.0,101270,4620,4.56
Pakistan,300030,6365,287658,6007,371,2.12,95.88,2.21,428724125,700.0,314616,4701,1.49
Panama,99042,2116,71419,25507,635,2.14,72.11,2.96,4314768,22954.0,115286,5027,4.36
Papua New Guinea,504,5,232,267,1,0.99,46.03,2.16,8947027,56.0,540,14,2.59
Paraguay,25026,474,12309,12243,812,1.89,49.18,3.85,7132530,3509.0,44182,5493,12.43
Peru,696190,30123,536959,129108,4615,4.33,77.13,5.61,65597846,10613.0,821564,27807,3.38
Philippines,245143,3986,185543,55614,3156,1.63,75.69,2.15,109581085,2237.0,322497,16844,5.22
Poland,71947,2147,57135,12665,421,2.98,79.41,3.76,37846605,1901.0,100074,25742,25.72
Portugal,61541,1849,43284,16408,646,3.0,70.33,4.27,10196707,6035.0,79151,7513,9.49
Qatar,120846,205,117746,2895,267,0.17,97.43,0.17,2881060,41945.0,126498,1487,1.18
Romania,98304,4018,41002,53284,1271,4.09,41.71,9.8,19237682,5110.0,135900,19383,14.26
Russia,1037526,18080,854069,165377,5172,1.74,82.32,2.12,292579178,3546.0,1209039,82648,6.84
Rwanda,4460,21,2325,2114,21,0.47,52.13,0.9,12952209,344.0,4866,30,0.62
Saint Kitts and Nevis,17,0,17,0,0,0.0,100.0,0.0,53109,320.0,19,0,0.0
Saint Lucia,27,0,26,1,1,0.0,96.3,0.0,183629,147.0,27,2,7.41
Saint Vincent and the Grenadines,62,0,58,4,0,0.0,93.55,0.0,110854,559.0,64,0,0.0
San Marino,722,42,662,18,6,5.82,91.69,6.34,33938,21274.0,732,9,1.23
Sao Tome and Principe,898,15,862,21,0,1.67,95.99,1.74,219159,4097.0,913,16,1.75
Saudi Arabia,323012,4165,298966,19881,775,1.29,92.56,1.39,34813867,9278.0,336387,2880,0.86
Senegal,14102,293,10176,3633,58,2.08,72.16,2.88,16743930,842.0,15094,174,1.15
Serbia,32078,728,0,31350,84,2.27,0.0,inf,8737370,3671.0,33901,886,2.61
Seychelles,137,0,127,10,0,0.0,92.7,0.0,98340,1393.0,146,2,1.37
Sierra Leone,2067,72,1622,373,3,3.48,78.47,4.44,7976985,259.0,2269,37,1.63
Singapore,57166,27,56492,647,75,0.05,98.82,0.05,5850343,9771.0,57812,64,0.11
Slovakia,4888,37,2947,1904,161,0.76,60.29,1.26,5459643,895.0,13139,6712,51.08
Slovenia,3312,135,2587,590,80,4.08,78.11,5.22,2078932,1593.0,6498,2165,33.32
Somalia,3371,97,2738,536,0,2.88,81.22,3.54,15893219,212.0,3745,119,3.18
South Africa,642431,15168,569935,57328,1990,2.36,88.72,2.66,59308690,10832.0,681289,11182,1.64
South Sudan,2555,49,1290,1216,3,1.92,50.49,3.8,11193729,228.0,2726,51,1.87
Spain,543379,29628,150376,363375,8866,5.45,27.67,19.7,93691843,5800.0,789932,71180,9.01
Sri Lanka,3147,12,2946,189,7,0.38,93.61,0.41,21413250,147.0,3402,1350,39.68
Sudan,13437,833,6730,5874,0,6.2,50.09,12.38,43849269,306.0,13653,20,0.15
Suriname,4447,92,3622,733,28,2.07,81.45,2.54,586634,7581.0,4941,110,2.23
Sweden,85880,5842,0,80038,173,6.8,0.0,inf,20426859,4204.0,94283,4168,4.42
Switzerland,45306,2019,38100,5187,469,4.46,84.09,5.3,8654618,5235.0,54384,5984,11.0
Syria,3351,143,780,2428,62,4.27,23.28,18.33,17500657,191.0,4366,352,8.06
Taiwan*,495,7,475,13,0,1.41,95.96,1.47,23806638,21.0,517,10,1.93
Tajikistan,8899,71,7683,1145,39,0.8,86.34,0.92,9537642,933.0,9935,287,2.89
Tanzania,509,21,183,305,0,4.13,35.95,11.48,59734213,9.0,509,0,0.0
Thailand,3454,58,3310,86,7,1.68,95.83,1.75,69799978,49.0,3590,51,1.42
Timor-Leste,27,0,25,2,0,0.0,92.59,0.0,1318442,20.0,28,0,0.0
Togo,1528,36,1144,348,15,2.36,74.87,3.15,8278737,185.0,1854,86,4.64
Trinidad and Tobago,2588,39,749,1800,197,1.51,28.94,5.21,1399491,1849.0,4763,280,5.88
Tunisia,5417,96,1862,3459,0,1.77,34.37,5.16,11818618,458.0,22230,10326,46.45
Turkey,284943,6837,254188,23918,1673,2.4,89.21,2.69,84339067,3379.0,324443,11090,3.42
US,6365325,190846,2387479,3787000,33552,3.0,37.51,7.99,330541757,19257.0,7417845,344701,4.65
Uganda,4101,46,1876,2179,201,1.12,45.74,2.45,45741000,90.0,8808,993,11.27
Ukraine,146511,3034,67092,76385,2597,2.07,45.79,4.52,89634808,1635.0,232424,35641,15.33
United Arab Emirates,75981,393,67359,8229,883,0.52,88.65,0.58,9890400,7682.0,98801,7428,7.52
United Kingdom,357613,41683,1831,314099,2681,11.66,0.51,2276.52,134856358,2652.0,505619,100828,19.94
Uruguay,1741,45,1478,218,29,2.58,84.89,3.04,3473727,501.0,2145,149,6.95
Uzbekistan,44930,366,42212,2352,649,0.81,93.95,0.87,33469199,1342.0,58612,2486,4.24
Venezuela,56751,452,45318,10981,1188,0.8,79.85,1.0,28435943,1996.0,78434,4703,6.0
Vietnam,1059,35,890,134,5,3.31,84.04,3.93,97338583,11.0,1096,13,1.19
West Bank and Gaza,27919,192,18466,9261,556,0.69,66.14,1.04,4543126,6145.0,41498,2801,6.75
Western Sahara,10,1,8,1,0,10.0,80.0,12.5,597330,17.0,10,0,0.0
Yemen,1999,576,1209,214,5,28.81,60.48,47.64,29825968,67.0,2041,11,0.54
Zambia,13112,300,11839,973,160,2.29,90.29,2.53,18383956,713.0,15052,406,2.7
Zimbabwe,7429,222,5542,1665,41,2.99,74.6,4.01,14862927,500.0,7888,123,1.56
